,0
ABaraaapa,268.0
ABaraaapaa,269.0
ABaraaapaaa,270.0
ABaraaapaap,271.0
ABaraaapap,272.0
ABaraaapapa,273.0
ABaraaapapp,274.0
ABaraaapp,275.0
ABaraaappa,276.0
ABaraaappaa,277.0
ABaraaappap,278.0
ABaraaappp,279.0
ABaraaapppa,280.0
ABaraaapppp,281.0
ABaraap,282.0
ABaraapa,283.0
ABaraapaa,284.0
ABaraapaaa,285.0
ABaraapaaaa,286.0
ABaraapaaap,287.0
ABaraapaap,288.0
ABaraapaapa,289.0
ABaraapaapp,290.0
ABaraapap,291.0
ABaraapapa,292.0
ABaraapapaa,293.0
ABaraapapap,294.0
ABaraapapp,295.0
ABaraapappa,296.0
ABaraapappp,297.0
ABaraapp,298.0
ABaraappa,299.0
ABaraappaa,300.0
ABaraappaaa,301.0
ABaraappaap,302.0
ABaraappap,303.0
ABaraappapa,304.0
ABaraappapp,305.0
ABaraappp,306.0
ABaraapppa,307.0
ABaraapppaa,308.0
ABaraapppap,309.0
ABaraapppp,310.0
ABaraappppa,311.0
ABaraappppp,312.0
ABarap,313.0
ABarapa,314.0
ABarapaa,315.0
ABarapaaa,316.0
ABarapaaaa,317.0
ABarapaaaaa,318.0
ABarapaaaap,319.0
ABarapaaap,320.0
ABarapaaapa,321.0
ABarapaaapp,322.0
ABarapaap,323.0
ABarapaapa,324.0
ABarapaapaa,325.0
ABarapaapap,326.0
ABarapaapp,327.0
ABarapaappa,328.0
ABarapaappp,329.0
ABarapap,330.0
ABarapapa,331.0
ABarapapaa,332.0
ABarapapaaa,333.0
ABarapapaap,334.0
ABarapapap,335.0
ABarapapapa,336.0
ABarapapapp,337.0
ABarapapp,338.0
ABarapappa,339.0
ABarapappaa,340.0
ABarapappap,341.0
ABarapappp,342.0
ABarapapppa,343.0
ABarapapppp,344.0
ABarapp,345.0
ABarappa,346.0
ABarappaa,347.0
ABarappaaa,348.0
ABarappaaaa,349.0
ABarappaaap,350.0
ABarappaap,351.0
ABarappaapa,352.0
ABarappaapp,353.0
ABarappap,354.0
ABarappapa,355.0
ABarappapaa,356.0
ABarappapap,357.0
ABarappapp,358.0
ABarappappa,359.0
ABarappappp,360.0
ABarappp,361.0
ABarapppa,362.0
ABarapppaa,363.0
ABarapppaaa,364.0
ABarapppaap,365.0
ABarapppap,366.0
ABarapppapa,367.0
ABarapppapp,368.0
ABarapppp,369.0
ABarappppa,370.0
ABarappppaa,371.0
ABarappppap,372.0
ABarappppp,373.0
ABarapppppa,374.0
ABarapppppp,375.0
